ID;EN;NL;DE;FR;IT;ES
WasherBottom;Washer Bottom;Onderste ring;Untere Scheibe;Rondelle infï¿½rieure;Rondella inferiore;Arandela inferior
Nut;Nut;Moer;Mutter;ï¿½crou;Dado;Tuerca
lblFasteners_Custom_File;File;Bestand;Datei;Fichier;File;Archivo
grpFastenersCustom;Use custom part;Aangepast onderdeel gebruiken;Benutzerdefiniertes Teil verwenden;Utiliser une piï¿½ce personnalisï¿½e;Usare parte personalizzata;Usar pieza personalizada
lblFasteners_Distance;Distance;Afstand;Abstand;Distance;Distanza;Distancia
chkFastenersLock;Lock;Vergrendelen;Sperren;Verrouiller;Bloccare;Bloquear
btnFastenersInsert;Insert;Invoegen;Einfï¿½gen;Insï¿½rer;Inserire;Insertar
GenerateProfileHeader;Generate Profile;Profiel genereren;Profil generieren;Gï¿½nï¿½rer profil;Generare profilo;Generar perfil
DXF;Custom profile;Aangepast profiel;Benutzerdefiniertes Profil;Profil personnalisï¿½;Profilo personalizzato;Perfil personalizado
SolidProfileText;Solid Profile;Solide profiel;Solides Profil;Profil solide;Profilo solido;Perfil sï¿½lido
SearchLabel;Search:;Zoeken:;Suchen:;Recherche:;Ricerca:;Buscar:
GenerateProfileButtonText;Generate Profile;Profiel genereren;Profil generieren;Gï¿½nï¿½rer profil;Generare profilo;Generar perfil
UpdateBOMText;Update BOM;BOM bijwerken;Stï¿½ckliste aktualisieren;Mettre ï¿½ jour la nomenclature;Aggiorna distinta base;Actualizar BOM
GenerateJointHeader;Generate Joint;Joint genereren;Joint generieren;Gï¿½nï¿½rer joint;Generare giunto;Generar uniï¿½n
RestoreGeometryText;Geometry;Geometrie;Geometrie;Gï¿½omï¿½trie;Geometria;Geometrï¿½a
GapLabel;Gap (mm);Speling (mm);Spiel (mm);Jeu (mm);Gioco (mm);Holgura (mm)
RestoreJointText;Joint;Verbinding;Verbindung;Jonction;Giunto;Uniï¿½n
ExecuteJointText;Execute Joint;Verbinding uitvoeren;Verbindung ausfï¿½hren;Exï¿½cuter jonction;Eseguire giunto;Ejecutar uniï¿½n
UpdateBOMJointText;Update BOM;BOM bijwerken;Stï¿½ckliste aktualisieren;Mettre ï¿½ jour la nomenclature;Aggiorna distinta base;Actualizar BOM
PlateHeader;Plate;Plaat;Platte;Plaque;Piastra;Placa
CreatePlate;Create;Aanmaken;Erstellen;Crï¿½er;Creare;Crear
PlaceInMiddle;Add to middle;In het midden toevoegen;In die Mitte einfï¿½gen;Ajouter au centre;Aggiungere al centro;Agregar al centro
RibCutoutText;Cutout;Uitsnede;Ausschnitt;Dï¿½coupe;Sfondamento;Recorte
ToleranceLabel;Tolerance;Tolerantie;Toleranz;Tolï¿½rance;Tolleranza;Tolerancia
ReverseDirectionText;Reverse direction;Richting omkeren;Richtung umkehren;Inverser la direction;Invertire direzione;Invertir direcciï¿½n
MiddleToleranceText;Middle Tolerance;Middentolerantie;Mitteltoleranz;Tolï¿½rance moyenne;Tolleranza media;Tolerancia media
PerpendicularCutText;Perpendicular Cut;Perpendiculaire snede;Rechtwinkliger Schnitt;Coupe perpendiculaire;Taglio perpendicolare;Corte perpendicular
WeldRoundText;Weld Round;Rond lassen;Rundschweiï¿½en;Soudage circulaire;Saldatura circolare;Soldadura circular
AddWeldRoundText;Add Weld Round;Rondlassen toevoegen;Rundschweiï¿½en hinzufï¿½gen;Ajouter soudage circulaire;Aggiungere saldatura circolare;Agregar soldadura circular
CreateText;Create;Aanmaken;Erstellen;Crï¿½er;Creare;Crear
Settings_Title;Settings;Instellingen;Einstellungen;Paramï¿½tres;Impostazioni;Configuraciï¿½n
Label_PartNaming;Part naming:;Onderdeelnamen:;Bauteilbenennung:;Nommage de piï¿½ce:;Denominazione parte:;Nombrado de pieza:
Label_AnchorX;Anchor X:;Anker X:;Anker X:;Ancre X:;Ancora X:;Ancla X:
Label_AnchorY;Anchor Y:;Anker Y:;Anker Y:;Ancre Y:;Ancora Y:;Ancla Y:
Label_Corner;Corner:;Hoek:;Ecke:;Coin:;Angolo:;Esquina:
Checkbox_ExcelMaterial;Include material in Excel;Materiaal opnemen in Excel;Material in Excel einbeziehen;Inclure matï¿½riau dans Excel;Includere materiale in Excel;Incluir material en Excel
Checkbox_BOMMaterial;Include material in BOM;Materiaal opnemen in stuklijst;Material in Stï¿½ckliste einbeziehen;Inclure matï¿½riau dans nomenclature;Includere materiale nella distinta base;Incluir material en BOM
Checkbox_STEPMaterial;Include material in STEP filename;Materiaal opnemen in STEP-bestandsnaam;Material in STEP-Dateiname einbeziehen;Inclure matï¿½riau dans le nom de fichier STEP;Includere materiale nel nome del file STEP;Incluir material en nombre de archivo STEP
Label_SelectLanguage;Select language:;Taal selecteren:;Sprache auswï¿½hlen:;Sï¿½lectionner la langue:;Selezionare la lingua:;Seleccionar idioma:
Label_Version;Version;Versie;Version;Version;Versione;Versiï¿½n
Label_LicenseStatus;License Status:;Licentiestatus:;Lizenzstatus:;Statut de la licence:;Stato della licenza:;Estado de la licencia:
Label_LicenseDetails;License Details:;Licentiedetails:;Lizenzdetails:;Dï¿½tails de la licence:;Dettagli della licenza:;Detalles de la licencia:
Label_SerialNumber;Serial Number:;Serienummer:;Seriennummer:;Numï¿½ro de sï¿½rie:;Numero di serie:;Nï¿½mero de serie:
Button_ActivateLicense;Activate;Activeren;Aktivieren;Activer;Attivare;Activar
Button_Save;Save;Opslaan;Speichern;Enregistrer;Salvare;Guardar
Expander_PartNaming;Part naming;Onderdeelnamen;Bauteilbenennung;Nommage de piï¿½ce;Denominazione parte;Nombrado de pieza
Group_NamingScheme;Naming scheme;Naamgevingsschema;Benennungsschema;Schï¿½ma de nommage;Schema di nomenclatura;Esquema de nomenclatura
Column_Type;Type;Type;Typ;Type;Tipo;Tipo
Column_Name;Name;Naam;Name;Nom;Nome;Nombre
Expander_BOMPlacement;BOM settings;Stuklijst instellingen;Stï¿½cklisten Einstellungen;Paramï¿½tres de nomenclature;Impostazioni distinta base;Configuraciï¿½n de la lista de materiales
Group_CoordinatesOrigin;Coordinates and origin;Coï¿½rdinaten en oorsprong;Koordinaten und Ursprung;Coordonnï¿½es et origine;Coordinate e origine;Coordenadas y origen
Expander_MaterialOptions;Material options;Materiaalopties;Materialoptionen;Options de matï¿½riau;Opzioni materiale;Opciones de material
Group_MaterialInclusion;Material Inclusion;Materiaalopname;Materialeinschluss;Inclusion de matï¿½riau;Inclusione materiale;Inclusiï¿½n de material
CsvFileExpander;CSV File Paths;CSV-bestandspaden;CSV-Dateipfade;Chemins de fichiers CSV;Percorsi file CSV;Rutas de archivos CSV
Expander_License;License;Licentie;Lizenz;Licence;Licenza;Licencia
Expander_Language;Language;Taal;Sprache;Langue;Lingua;Idioma
CSVFilePaths;CSV File Paths;CSV-bestandspaden;CSV-Dateipfade;Chemins de fichiers CSV;Percorsi file CSV;Rutas de archivos CSV
Ribbon.Button.FrameGenerator;Frame Generator;Framegenerator;Rahmengenerator;Gï¿½nï¿½rateur d'ossature;Generatore di telai;Generador de estructuras
Ribbon.Button.Settings;Settings;Instellingen;Einstellungen;Paramï¿½tres;Impostazioni;Configuraciï¿½n
Ribbon.Button.Plate;Plate;Plaat;Platte;Plaque;Piastra;Placa
Ribbon.Button.Fastener;Fastener;Bevestigingsmiddel;Befestigungselement;ï¿½lï¿½ment de fixation;Elemento di fissaggio;Elemento de fijaciï¿½n
Ribbon.Button.RibCutOut;Rib Cut-Out;Rib uitsparing;Rippenausschnitt;Dï¿½coupe de nervure;Ritaglio per nervatura;Recorte de nervadura
Ribbon.Button.CustomProperties;Custom Properties;Aangepaste eigenschappen;Benutzerdefinierte Eigenschaften;Propriï¿½tï¿½s personnalisï¿½es;Proprietï¿½ personalizzate;Propiedades personalizadas
Ribbon.Button.Engraving;Engraving;Graveren;Gravur;Gravure;Incisione;Grabado
Ribbon.Button.FloatOld;Float;Zwevend;Schwebend;Flottant;Flottante;Flotante
Ribbon.Button.Float;Dock / Undock;Vastzetten / Loskoppelen;Andocken / Abdocken;Ancrer / Dï¿½tacher;Ancorare / Sganciare;Anclar / Desanclar
Ribbon.Button.ExportExcel;Export to Excel;Exporteren naar Excel;Nach Excel exportieren;Exporter vers Excel;Esporta in Excel;Exportar a Excel
Ribbon.Button.GenerateBOM;Generate BOM;Stuklijst genereren;Stï¿½ckliste erstellen;Gï¿½nï¿½rer la nomenclature;Genera distinta base;Generar lista de materiales
Ribbon.Button.UpdateBOM;Update BOM;Stuklijst bijwerken;Stï¿½ckliste aktualisieren;Mettre ï¿½ jour la nomenclature;Aggiorna distinta base;Actualizar lista de materiales
Ribbon.Button.ExportSTEP;Export STEP;Exporteren naar STEP;Nach STEP exportieren;Exporter en STEP;Esporta in STEP;Exportar a STEP
Ribbon.Button.Connector;Connector;Connector;Verbinder;Connecteur;Connettore;Conector
ConnectoreHeader;Parameters;Parameters;Parameter;Paramï¿½tres;Parametri;Parï¿½metros
ConnectorShape;Shape;Vorm;Form;Forme;Forma;Forma
connectorUseCustomText;Use custom;Aangepast gebruiken;Benutzerdefiniert verwenden;Utiliser personnalisï¿½;Usa personalizzato;Usar personalizado
ConnectorDynamicHeightText;Dynamic;Dynamisch;Dynamisch;Dynamique;Dinamico;Dinï¿½mico
ConnectorHeightText;Height;Hoogte;Hï¿½he;Hauteur;Altezza;Altura
connectorWidth1Text;Width bottom;Onderbreedte;Breite unten;Largeur infï¿½rieure;Larghezza inferiore;Ancho inferior
connectorWidth2Text;Width top;Bovenbreedte;Breite oben;Largeur supï¿½rieure;Larghezza superiore;Ancho superior
connectorRadiusText;Radius;Straal;Radius;Rayon;Raggio;Radio
connectorChamferText;Chamfer;Afschuining;Fase;Chanfrein;Smusso;Chaflï¿½n
connectorRadiusChamferText;Radius / Chamfer;Straal / Afschuining;Radius / Fase;Rayon / Chanfrein;Raggio / Smusso;Radio / Chaflï¿½n
connectorToleranceText;Tolerance;Tolerantie;Toleranz;Tolï¿½rance;Tolleranza;Tolerancia
connectorLocationText;Location;Locatie;Position;Emplacement;Posizione;Ubicaciï¿½n
connectorCornerCutoutText;Corner cutout;Hoekuitsparing;Eckaussparung;Dï¿½coupe dï¿½angle;Scarico angolo;Recorte de esquina
connectorShowToleranceText;Show tolerance;Toon tolerantie;Toleranz anzeigen;Afficher la tolï¿½rance;Mostra tolleranza;Mostrar tolerancia
connectorCornerCutoutRadiusText;Cutout radius;Uitsparingsstraal;Aussparungsradius;Rayon de la dï¿½coupe;Raggio dello scasso;Radio del recorte
connectorClickLocationText;Click location;Kliklocatie;Klickposition;Emplacement du clic;Posizione del clic;Ubicaciï¿½n del clic
connectorStraightText;Straight connector;Rechte connector;Gerader Verbinder;Connecteur droit;Connettore diritto;Conector recto
Label_BOMAnchor;Drawing sheet anchor;Ankerpunt tekenblad;Ankerpunkt des Zeichnungsblatts;Point d'ancrage de la feuille de dessin;Punto di ancoraggio del foglio di disegno;Punto de anclaje de la hoja de dibujo
Group_Units;Units;Eenheden;Einheiten;Unitï¿½s;Unitï¿½;Unidades
Label_BOMLengthUnit;Unit length;Lengte-eenheid;Lï¿½ngeneinheit;Unitï¿½ de longueur;Unitï¿½ di lunghezza;Unidad de longitud
Ribbon.Button.ActivateNetworkBtn;Toggle network license;Netwerklicentie omschakelen;Netzwerklizenz umschalten;Basculer la licence rï¿½seau;Attiva o disattiva la licenza di rete;Alternar  licencia de red
DeleteProfileButton;Delete profile;Profiel verwijderen;Profil lï¿½schen;Supprimer le profil;Eliminare il profilo;Eliminar el perfil
lblFasteners_overwriteDist;Clamping distance;Klemafstand;Klemmabstand;Distance de serrage;Distanza di serraggio;Distancia de sujeciï¿½n
connectorPatternText;Pattern;Patroon;Muster;Motif;Serie;Patrï¿½n
Label_TypesDataGrid;Per-type overrides:;Overschrijving per type:;;;;
Label_CSVFilePaths_Intro;Paths to runtime CSV data files:;Paden naar CSV-databestanden:;;;;
Help_PartNaming;Template for the name of each profile component. Tokens:\n[Name] [length]\n[w] [h] [t] [s] [d]\n[p1] [p2] [p3] ... (positional dimensions per profile)\nAny CSV column also works, for example [D], [a], [b], [r1].;Sjabloon voor de naam van elk profielcomponent. Tokens:\n[Name] [length]\n[w] [h] [t] [s] [d]\n[p1] [p2] [p3] ... (positionele afmetingen per profiel)\nElke CSV-kolom werkt ook, bijvoorbeeld [D], [a], [b], [r1].;Vorlage für den Namen jeder Profilkomponente. Tokens:\n[Name] [length]\n[w] [h] [t] [s] [d]\n[p1] [p2] [p3] ... (positionsbezogene Maße je Profil)\nJede CSV-Spalte funktioniert ebenfalls, zum Beispiel [D], [a], [b], [r1].;Modèle de nom pour chaque composant de profil. Tokens :\n[Name] [length]\n[w] [h] [t] [s] [d]\n[p1] [p2] [p3] ... (cotes positionnelles par profil)\nToute colonne CSV fonctionne aussi, par exemple [D], [a], [b], [r1].;Modello per il nome di ogni componente di profilo. Token disponibili:\n[Name] [length]\n[w] [h] [t] [s] [d]\n[p1] [p2] [p3] ... (dimensioni posizionali per profilo)\nAnche qualsiasi colonna CSV è valida, per esempio [D], [a], [b], [r1].;Plantilla para el nombre de cada componente de perfil. Tokens:\n[Name] [length]\n[w] [h] [t] [s] [d]\n[p1] [p2] [p3] ... (dimensiones posicionales por perfil)\nCualquier columna del CSV también funciona, por ejemplo [D], [a], [b], [r1].
Help_TypesDataGrid;Per-profile overrides for the display name and naming template. The Name column is substituted for [Name]. The Naming scheme column overrides the global template for that type only.;Per profiel een aangepaste weergavenaam en naamsjabloon. De kolom Name wordt gebruikt voor [Name]. De kolom Naming scheme overschrijft het globale sjabloon alleen voor dat type.;Profilspezifische Überschreibungen für Anzeigename und Namensvorlage. Die Spalte Name wird für [Name] eingesetzt. Die Spalte Naming scheme überschreibt die globale Vorlage nur für diesen Typ.;Remplacements par profil pour le nom affiché et le modèle de nommage. La colonne Name est substituée à [Name]. La colonne Naming scheme remplace le modèle global uniquement pour ce type.;Sostituzioni per profilo del nome visualizzato e del modello di denominazione. La colonna Name viene usata al posto di [Name]. La colonna Naming scheme sovrascrive il modello globale solo per quel tipo.;Sobrescrituras por perfil del nombre mostrado y de la plantilla de nomenclatura. La columna Name sustituye a [Name]. La columna Naming scheme reemplaza la plantilla global solo para ese tipo.
Help_Decimals;Maximum decimals shown in component names for dimensions and length (mm).;Maximum aantal decimalen in componentnamen voor afmetingen en lengte (mm).;Maximale Anzahl Nachkommastellen in Komponentennamen für Maße und Länge (mm).;Nombre maximal de décimales affichées dans les noms de composants pour les cotes et la longueur (mm).;Numero massimo di decimali mostrati nei nomi dei componenti per dimensioni e lunghezza (mm).;Decimales máximos mostrados en los nombres de componente para dimensiones y longitud (mm).
Help_BomDecimals;Maximum decimals shown in BOM and Excel exports for the length column.;Maximum aantal decimalen in BOM- en Excel-exports voor de lengtekolom.;Maximale Anzahl Nachkommastellen in BOM- und Excel-Exporten für die Längenspalte.;Nombre maximal de décimales affichées dans les exports BOM et Excel pour la colonne de longueur.;Numero massimo di decimali mostrati nella colonna lunghezza nelle esportazioni BOM ed Excel.;Decimales máximos mostrados en los exports BOM y Excel para la columna de longitud.
Help_FrameColor;When enabled, new profile components are placed on a Frames layer with this color (hex, for example #006d8b).;Indien ingeschakeld worden nieuwe profielcomponenten op een Frames-laag met deze kleur geplaatst (hex, bijvoorbeeld #006d8b).;Wenn aktiviert, werden neue Profilkomponenten auf einer Frames-Ebene mit dieser Farbe abgelegt (hex, zum Beispiel #006d8b).;Si activé, les nouveaux composants de profil sont placés sur un calque Frames avec cette couleur (hex, par exemple #006d8b).;Se attivato, i nuovi componenti di profilo vengono collocati su un layer Frames con questo colore (hex, per esempio #006d8b).;Si está activado, los nuevos componentes de perfil se colocan en una capa Frames con este color (hex, por ejemplo #006d8b).
Help_AnchorX;Horizontal position of the BOM table on the drawing sheet, in the active unit. Origin follows the Drawing sheet anchor setting.;Horizontale positie van de BOM-tabel op het tekeningblad, in de actieve eenheid. Oorsprong volgt de instelling Drawing sheet anchor.;Horizontale Position der BOM-Tabelle auf dem Zeichnungsblatt, in der aktiven Einheit. Der Ursprung folgt der Einstellung Drawing sheet anchor.;Position horizontale de la table BOM sur la feuille de dessin, dans l'unité active. L'origine suit le réglage Drawing sheet anchor.;Posizione orizzontale della tabella BOM sul foglio di disegno, nell'unità attiva. L'origine segue l'impostazione Drawing sheet anchor.;Posición horizontal de la tabla BOM en la hoja de dibujo, en la unidad activa. El origen sigue la configuración Drawing sheet anchor.
Help_AnchorY;Vertical position of the BOM table on the drawing sheet, in the active unit. Origin follows the Drawing sheet anchor setting.;Verticale positie van de BOM-tabel op het tekeningblad, in de actieve eenheid. Oorsprong volgt de instelling Drawing sheet anchor.;Vertikale Position der BOM-Tabelle auf dem Zeichnungsblatt, in der aktiven Einheit. Der Ursprung folgt der Einstellung Drawing sheet anchor.;Position verticale de la table BOM sur la feuille de dessin, dans l'unité active. L'origine suit le réglage Drawing sheet anchor.;Posizione verticale della tabella BOM sul foglio di disegno, nell'unità attiva. L'origine segue l'impostazione Drawing sheet anchor.;Posición vertical de la tabla BOM en la hoja de dibujo, en la unidad activa. El origen sigue la configuración Drawing sheet anchor.
Help_Corner;Which corner of the BOM table is placed at the Anchor X / Anchor Y point.;Welke hoek van de BOM-tabel wordt op het punt Anchor X / Anchor Y geplaatst.;Welche Ecke der BOM-Tabelle am Punkt Anchor X / Anchor Y platziert wird.;Coin de la table BOM qui est placé au point Anchor X / Anchor Y.;Quale angolo della tabella BOM viene posizionato sul punto Anchor X / Anchor Y.;Qué esquina de la tabla BOM se sitúa en el punto Anchor X / Anchor Y.
Help_BOMAnchor;Origin on the drawing sheet used to interpret Anchor X / Anchor Y (TopLeft, TopRight, BottomLeft, BottomRight).;Oorsprong op het tekeningblad voor Anchor X / Anchor Y (TopLeft, TopRight, BottomLeft, BottomRight).;Ursprung auf dem Zeichnungsblatt zur Interpretation von Anchor X / Anchor Y (TopLeft, TopRight, BottomLeft, BottomRight).;Origine sur la feuille de dessin utilisée pour interpréter Anchor X / Anchor Y (TopLeft, TopRight, BottomLeft, BottomRight).;Origine sul foglio di disegno usata per interpretare Anchor X / Anchor Y (TopLeft, TopRight, BottomLeft, BottomRight).;Origen en la hoja de dibujo usado para interpretar Anchor X / Anchor Y (TopLeft, TopRight, BottomLeft, BottomRight).
Help_BOMLengthUnit;Unit used for lengths in BOM and Excel exports (mm, cm, m, or inch). Model lengths stay in meters internally.;Eenheid voor lengtes in BOM- en Excel-exports (mm, cm, m of inch). Modellengtes blijven intern in meters.;Einheit für Längen in BOM- und Excel-Exporten (mm, cm, m oder inch). Modelllängen bleiben intern in Metern.;Unité utilisée pour les longueurs dans les exports BOM et Excel (mm, cm, m ou inch). Les longueurs du modèle restent en mètres en interne.;Unità usata per le lunghezze nelle esportazioni BOM ed Excel (mm, cm, m o inch). Le lunghezze del modello restano internamente in metri.;Unidad usada para longitudes en los exports BOM y Excel (mm, cm, m o inch). Las longitudes del modelo permanecen internamente en metros.
Help_MatInExcel;When enabled, the exported Excel BOM includes a Material column populated from each part.;Indien ingeschakeld bevat de geexporteerde Excel-BOM een Material-kolom gevuld met het materiaal van elk onderdeel.;Wenn aktiviert, enthält die exportierte Excel-BOM eine Spalte Material, gefüllt aus dem Material jedes Teils.;Si activé, la BOM Excel exportée inclut une colonne Material renseignée à partir de chaque pièce.;Se attivato, la BOM Excel esportata include una colonna Material compilata dal materiale di ogni parte.;Si está activado, el BOM exportado a Excel incluye una columna Material rellenada desde cada pieza.
Help_MatInBOM;When enabled, the BOM table placed on the drawing sheet includes a Material column.;Indien ingeschakeld bevat de BOM-tabel op het tekeningblad een Material-kolom.;Wenn aktiviert, enthält die auf dem Zeichnungsblatt platzierte BOM-Tabelle eine Spalte Material.;Si activé, la table BOM placée sur la feuille de dessin inclut une colonne Material.;Se attivato, la tabella BOM posizionata sul foglio di disegno include una colonna Material.;Si está activado, la tabla BOM situada en la hoja de dibujo incluye una columna Material.
Help_MatInSTEP;When enabled, STEP files exported per component are prefixed with the component material name.;Indien ingeschakeld worden STEP-bestanden per component voorafgegaan door de materiaalnaam.;Wenn aktiviert, werden je Komponente exportierte STEP-Dateien mit dem Materialnamen der Komponente präfixiert.;Si activé, les fichiers STEP exportés par composant sont préfixés par le nom du matériau du composant.;Se attivato, i file STEP esportati per componente vengono preceduti dal nome del materiale del componente.;Si está activado, los archivos STEP exportados por componente se prefijan con el nombre del material del componente.
Help_Language;User interface language. Press Save to apply the change.;Taal van de gebruikersinterface. Druk op Opslaan om de wijziging toe te passen.;Sprache der Benutzeroberfläche. Drücken Sie Speichern, um die Änderung anzuwenden.;Langue de l'interface utilisateur. Appuyez sur Save pour appliquer la modification.;Lingua dell'interfaccia utente. Premere Salva per applicare la modifica.;Idioma de la interfaz de usuario. Pulsar Guardar para aplicar el cambio.
Help_CSVFilePaths;Full paths to runtime CSV data (profiles, fasteners, plates, language, connector properties). Change only if you have moved the files.;Volledige paden naar runtime-CSV-data (profielen, bevestigingsmiddelen, platen, taal, connector-eigenschappen). Alleen wijzigen als u de bestanden hebt verplaatst.;Vollständige Pfade zu den Laufzeit-CSV-Daten (Profile, Befestiger, Platten, Sprache, Connector-Eigenschaften). Nur ändern, wenn Sie die Dateien verschoben haben.;Chemins complets vers les données CSV runtime (profils, fixations, plaques, langue, propriétés de connecteurs). À modifier uniquement si vous avez déplacé les fichiers.;Percorsi completi dei dati CSV runtime (profili, fissaggi, piastre, lingua, proprietà connettori). Modificare solo se i file sono stati spostati.;Rutas completas a los datos CSV en tiempo de ejecución (perfiles, fijaciones, placas, idioma, propiedades de conector). Modificar solo si ha movido los archivos.
Help_SerialNumber;License serial number issued by AESC. Paste or type it here and press Activate to validate the license.;Licentie-serienummer uitgegeven door AESC. Plak of typ het hier en druk op Activate om de licentie te valideren.;Lizenzseriennummer von AESC. Fügen Sie sie hier ein oder geben Sie sie ein und drücken Sie Activate, um die Lizenz zu prüfen.;Numéro de série de licence délivré par AESC. Collez-le ou saisissez-le ici puis appuyez sur Activate pour valider la licence.;Numero di serie della licenza rilasciato da AESC. Incollarlo o digitarlo qui e premere Activate per convalidare la licenza.;Número de serie de licencia emitido por AESC. Pegarlo o escribirlo aquí y pulsar Activate para validar la licencia.
Help_ActivateLicense;Validate the serial number and refresh the license status. The license file is stored at %ProgramData%\IPManager\AESC_License_Construct2026.lic.;Valideer het serienummer en vernieuw de licentiestatus. Het licentiebestand staat in %ProgramData%\IPManager\AESC_License_Construct2026.lic.;Seriennummer prüfen und Lizenzstatus aktualisieren. Die Lizenzdatei liegt unter %ProgramData%\IPManager\AESC_License_Construct2026.lic.;Validez le numéro de série et rafraîchissez le statut de la licence. Le fichier de licence est stocké dans %ProgramData%\IPManager\AESC_License_Construct2026.lic.;Convalida il numero di serie e aggiorna lo stato della licenza. Il file di licenza è memorizzato in %ProgramData%\IPManager\AESC_License_Construct2026.lic.;Validar el número de serie y actualizar el estado de la licencia. El archivo de licencia se almacena en %ProgramData%\IPManager\AESC_License_Construct2026.lic.
Label_Decimals;Decimals:;Decimalen:;Dezimalstellen:;Dï¿½cimales :;Decimali:;Decimales:
Label_BomDecimals;BOM decimals:;BOM-decimalen:;BOM-Dezimalstellen:;Dï¿½cimales BOM :;Decimali BOM:;Decimales BOM:
Checkbox_FrameColor;Profile color:;Profielkleur:;Profilfarbe:;Couleur du profil :;Colore profilo:;Color del perfil:
Settings_Label_LicenseType;License type:;Licentietype:;Lizenztyp:;Type de licence :;Tipo di licenza:;Tipo de licencia:
Settings_Grid_Type;Type;Type;Typ;Type;Tipo;Tipo
Settings_Grid_Name;Name;Naam;Name;Nom;Nome;Nombre
Settings_Grid_NamingScheme;Naming scheme;Naamgevingsschema;Benennungsschema;Schï¿½ma de nommage;Schema di nomenclatura;Esquema de nomenclatura
Settings_Placeholder_SerialNumber;Enter serial number Here;Voer hier het serienummer in;Seriennummer hier eingeben;Saisir le numï¿½ro de sï¿½rie ici;Inserire qui il numero di serie;Introducir el nï¿½mero de serie aquï¿½
Settings_Tooltip_SaveSettings;Save settings;Instellingen opslaan;Einstellungen speichern;Enregistrer les paramï¿½tres;Salva impostazioni;Guardar configuraciï¿½n
